date,year,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
2023-03-03,2023,3,March,3,4,Friday,9,False
2023-03-04,2023,3,March,4,5,Saturday,9,True
2023-03-05,2023,3,March,5,6,Sunday,9,True
2023-03-06,2023,3,March,6,0,Monday,10,False
2023-03-07,2023,3,March,7,1,Tuesday,10,False
2023-03-08,2023,3,March,8,2,Wednesday,10,False
2023-03-09,2023,3,March,9,3,Thursday,10,False
2023-03-10,2023,3,March,10,4,Friday,10,False
2023-03-11,2023,3,March,11,5,Saturday,10,True
2023-03-12,2023,3,March,12,6,Sunday,10,True
2023-03-13,2023,3,March,13,0,Monday,11,False
2023-03-14,2023,3,March,14,1,Tuesday,11,False
2023-03-15,2023,3,March,15,2,Wednesday,11,False
2023-03-16,2023,3,March,16,3,Thursday,11,False
2023-03-17,2023,3,March,17,4,Friday,11,False
2023-03-18,2023,3,March,18,5,Saturday,11,True
2023-03-19,2023,3,March,19,6,Sunday,11,True
2023-03-20,2023,3,March,20,0,Monday,12,False
2023-03-21,2023,3,March,21,1,Tuesday,12,False
2023-03-22,2023,3,March,22,2,Wednesday,12,False
2023-03-23,2023,3,March,23,3,Thursday,12,False
2023-03-24,2023,3,March,24,4,Friday,12,False
2023-03-25,2023,3,March,25,5,Saturday,12,True
2023-03-26,2023,3,March,26,6,Sunday,12,True
2023-03-27,2023,3,March,27,0,Monday,13,False
2023-03-28,2023,3,March,28,1,Tuesday,13,False
2023-03-29,2023,3,March,29,2,Wednesday,13,False
2023-03-30,2023,3,March,30,3,Thursday,13,False
2023-03-31,2023,3,March,31,4,Friday,13,False
2023-04-01,2023,4,April,1,5,Saturday,13,True
2023-04-02,2023,4,April,2,6,Sunday,13,True
2023-04-03,2023,4,April,3,0,Monday,14,False
2023-04-04,2023,4,April,4,1,Tuesday,14,False
2023-04-05,2023,4,April,5,2,Wednesday,14,False
2023-04-06,2023,4,April,6,3,Thursday,14,False
2023-04-07,2023,4,April,7,4,Friday,14,False
2023-04-08,2023,4,April,8,5,Saturday,14,True
2023-04-09,2023,4,April,9,6,Sunday,14,True
2023-04-10,2023,4,April,10,0,Monday,15,False
2023-04-11,2023,4,April,11,1,Tuesday,15,False
2023-04-12,2023,4,April,12,2,Wednesday,15,False
2023-04-13,2023,4,April,13,3,Thursday,15,False
2023-04-14,2023,4,April,14,4,Friday,15,False
2023-04-15,2023,4,April,15,5,Saturday,15,True
2023-04-16,2023,4,April,16,6,Sunday,15,True
2023-04-17,2023,4,April,17,0,Monday,16,False
2023-04-18,2023,4,April,18,1,Tuesday,16,False
2023-04-19,2023,4,April,19,2,Wednesday,16,False
2023-04-20,2023,4,April,20,3,Thursday,16,False
2023-04-21,2023,4,April,21,4,Friday,16,False
2023-04-22,2023,4,April,22,5,Saturday,16,True
2023-04-23,2023,4,April,23,6,Sunday,16,True
2023-04-24,2023,4,April,24,0,Monday,17,False
2023-04-25,2023,4,April,25,1,Tuesday,17,False
2023-04-26,2023,4,April,26,2,Wednesday,17,False
2023-04-27,2023,4,April,27,3,Thursday,17,False
2023-04-28,2023,4,April,28,4,Friday,17,False
2023-04-29,2023,4,April,29,5,Saturday,17,True
2023-04-30,2023,4,April,30,6,Sunday,17,True
2023-05-01,2023,5,May,1,0,Monday,18,False
2023-05-02,2023,5,May,2,1,Tuesday,18,False
2023-05-03,2023,5,May,3,2,Wednesday,18,False
2023-05-04,2023,5,May,4,3,Thursday,18,False
2023-05-05,2023,5,May,5,4,Friday,18,False
2023-05-06,2023,5,May,6,5,Saturday,18,True
2023-05-07,2023,5,May,7,6,Sunday,18,True
2023-05-08,2023,5,May,8,0,Monday,19,False
2023-05-09,2023,5,May,9,1,Tuesday,19,False
2023-05-10,2023,5,May,10,2,Wednesday,19,False
2023-05-11,2023,5,May,11,3,Thursday,19,False
2023-05-12,2023,5,May,12,4,Friday,19,False
2023-05-13,2023,5,May,13,5,Saturday,19,True
2023-05-14,2023,5,May,14,6,Sunday,19,True
2023-05-15,2023,5,May,15,0,Monday,20,False
2023-05-16,2023,5,May,16,1,Tuesday,20,False
2023-05-17,2023,5,May,17,2,Wednesday,20,False
2023-05-18,2023,5,May,18,3,Thursday,20,False
2023-05-19,2023,5,May,19,4,Friday,20,False
2023-05-20,2023,5,May,20,5,Saturday,20,True
2023-05-21,2023,5,May,21,6,Sunday,20,True
2023-05-22,2023,5,May,22,0,Monday,21,False
2023-05-23,2023,5,May,23,1,Tuesday,21,False
2023-05-24,2023,5,May,24,2,Wednesday,21,False
2023-05-25,2023,5,May,25,3,Thursday,21,False
2023-05-26,2023,5,May,26,4,Friday,21,False
2023-05-27,2023,5,May,27,5,Saturday,21,True
2023-05-28,2023,5,May,28,6,Sunday,21,True
2023-05-29,2023,5,May,29,0,Monday,22,False
2023-05-30,2023,5,May,30,1,Tuesday,22,False
2023-05-31,2023,5,May,31,2,Wednesday,22,False
2023-06-01,2023,6,June,1,3,Thursday,22,False
2023-06-02,2023,6,June,2,4,Friday,22,False
2023-06-03,2023,6,June,3,5,Saturday,22,True
2023-06-04,2023,6,June,4,6,Sunday,22,True
2023-06-05,2023,6,June,5,0,Monday,23,False
2023-06-06,2023,6,June,6,1,Tuesday,23,False
2023-06-07,2023,6,June,7,2,Wednesday,23,False
2023-06-08,2023,6,June,8,3,Thursday,23,False
2023-06-09,2023,6,June,9,4,Friday,23,False
2023-06-10,2023,6,June,10,5,Saturday,23,True
2023-06-11,2023,6,June,11,6,Sunday,23,True
2023-06-12,2023,6,June,12,0,Monday,24,False
2023-06-13,2023,6,June,13,1,Tuesday,24,False
2023-06-14,2023,6,June,14,2,Wednesday,24,False
2023-06-15,2023,6,June,15,3,Thursday,24,False
2023-06-16,2023,6,June,16,4,Friday,24,False
2023-06-17,2023,6,June,17,5,Saturday,24,True
2023-06-18,2023,6,June,18,6,Sunday,24,True
2023-06-19,2023,6,June,19,0,Monday,25,False
2023-06-20,2023,6,June,20,1,Tuesday,25,False
2023-06-21,2023,6,June,21,2,Wednesday,25,False
2023-06-22,2023,6,June,22,3,Thursday,25,False
2023-06-23,2023,6,June,23,4,Friday,25,False
2023-06-24,2023,6,June,24,5,Saturday,25,True
2023-06-25,2023,6,June,25,6,Sunday,25,True
2023-06-26,2023,6,June,26,0,Monday,26,False
2023-06-27,2023,6,June,27,1,Tuesday,26,False
2023-06-28,2023,6,June,28,2,Wednesday,26,False
2023-06-29,2023,6,June,29,3,Thursday,26,False
2023-06-30,2023,6,June,30,4,Friday,26,False
